Timestamp,Action,Path,Details,Error
2026-02-09T16:28:07.691213,read,app_config/ads,Get document (Found),
2026-02-09T16:28:07.494022,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:28:07.488686,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:27:32.746185,read,app_config/ads,Get document (Found),
2026-02-09T16:27:32.578516,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:27:32.573582,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:27:27.158400,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:27:26.993279,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Stream document update,
2026-02-09T16:27:26.975083,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Stream document update,
2026-02-09T16:27:26.581486,write,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Set,
2026-02-09T16:27:26.574039,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:27:26.399141,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Transaction Get,
2026-02-09T16:27:25.995541,read,managers/s7tgpcssOaJLYtFJrrnJ,Get document (Found),
2026-02-09T16:27:25.851361,read,AggregateQuery,Count Query: 1,
2026-02-09T16:27:25.502306,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:27:25.419661,read,users/VxNSBbUk5DQtY0Tyi5KBshcI9T53,Get document (Found),
2026-02-09T16:27:25.145469,read,AggregateQuery,Count Query: 1,
2026-02-09T16:27:25.128736,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:27:25.126346,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2/earnings/realtime,Transaction Get,
2026-02-09T16:27:24.637602,read,Query,Query Get: 1 docs,
2026-02-09T16:27:24.629687,read,referral_stats/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:27:24.225057,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:27:24.204983,read,users/4pCpl31sXNTyIpSCeJosPNohUkX2,Get document (Found),
2026-02-09T16:27:21.959419,read,app_config/ads,Get document (Found),
